FEDFUNDS,Owner-Occupied-Home-Proportion,30-Year-Mortgage-Rate,Consumer-Price-Index,Year,Month,Quarter,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars,Year-Quarter-Month
0.09,64.3,4.115,237.46,2014,August,Q3,Northeast,Double,93600.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,Northeast,Single ,43100.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,Northeast,Total1,71700.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,South,Double,87800.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,South,Single ,43300.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,South,Total1,66400.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,United States,Double,87600.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,United States,Single ,44200.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,United States,Total1,67100.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,West,Double,88900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,West,Single ,45800.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,West,Total1,75400.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-August
0.09,64.3,4.1625,237.477,2014,September,Q3,Midwest,Double,78500.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,Midwest,Single ,41600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,Midwest,Total1,59000.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,Northeast,Double,88500.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,Northeast,Single ,45000.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,Northeast,Total1,71900.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,South,Double,80900.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,South,Single ,44500.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,South,Total1,66000.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,United States,Double,82600.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,United States,Single ,43600.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,United States,Total1,67000.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,West,Double,90100.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,West,Single ,39900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-September
0.09,64.3,4.1625,237.477,2014,September,Q3,West,Total1,80200.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-September
0.09,63.9,4.036,237.43,2014,October,Q4,Midwest,Double,78700.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,Midwest,Single ,50900.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,Midwest,Total1,64500.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,Northeast,Double,73600.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,Northeast,Single ,50900.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,Northeast,Total1,63400.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-October
